Codigo_Procedimento; Procedimento;
0201;"Coleta de material";
0209;"Diagnostico por endoscopia";
0211;"Metodos diagnosticos em especialidades";
0301;"Consultas/Atendimentos/Acompanhamentos";
0303;"Tratamentos clinicos (outras especialidades)";
0304;"Tratamento em oncologia";
0305;"Tratamento em nefrologia";
0308;"Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";
0310;"Parto e nascimento";
0401;"Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";
0402;"Cirurgia de glandulas endocrinas";
0403;"Cirurgia do sistema nervoso central e periferico";
0404;"Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";
0405;"Cirurgia do aparelho da visao";
0406;"Cirurgia do aparelho circulatorio";
0407;"Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";
0408;"Cirurgia do sistema osteomuscular";
0409;"Cirurgia do aparelho geniturinario";
0410;"Cirurgia de mama";
0411;"Cirurgia obstetrica";
0412;"Cirurgia toracica";
0413;"Cirurgia reparadora";
0414;"Bucomaxilofacial";
0415;"Outras cirurgias";
0416;"Cirurgia em oncologia";
0501;"Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";
0503;"Acoes relacionadas a doacao de orgaos e tecidos para transplante";
0504;"Processamento de tecidos para transplante";
0505;"Transplante de orgaos, tecidos e celulas";
0506;"Acompanhamento e intercorrencias no pre e pos-transplante";